데이,표제어,예문,동의어 1,동의어 2,동의어 3,동의어 4,동의어 5
10,mirth,The performance produced much mirth among the audience.,merriment,pleasure,,,
10,document,"Recently, the website WikiLeaks released hundreds of thousands of documents detailing comments madde by diplomats and world leaders.",archives,record,report,,
10,brusque,I was completely taken aback by his brusque reply to my question.,abrupt,blunt,curt,surly,
11,virtual,The country was sliding into a state of virtual civil war.,effective,practical,,,
11,distend,"According to scientists, the cosmos is distending gradually.",dilate,expand,inflate,swell,
11,staunch,My friend has been a staunch advocate of that proposal.,firm,steadfast,stout,,
11,poverty,Poverty has a bad impact on people's health.,destitution,indigence,penury,lack,
11,infinitesimal,Those crackers have an infinitesimal amount of salt.,microscopic,minute,,,
11,expire,His term of office expires at the end of June.,cease,finish,lapse,terminate,
11,suffrage,Suffrage is one of the most important civil rights.,voting right,,,,
11,suffrage,Woman suffrage is the first step toward political equality.,voting right,,,,
11,gorge,They gorged to the bursting-point.,devour,fill oneself with,gobble,,
11,gorge,A wide gorge yawned beneath our feet.,canyon,ravine,valley,,
11,cannibal,"Once upon a time, there was a tribe of cannibals in the mountain.",man-eater,people-eater,,,
11,proceed,"Be the pain what it may, the operation must proceed.",continue,progress,,,
11,disciple,"Claudel, who was also Rodin's disciple and lover, created many sculptures jointly with Rodin.",adherent,apostle,follower,pupil,
11,brilliant,How did you come up with such a brilliant idea?,bright,luminous,radiant,,
11,brilliant,The play was a brilliant success.,excellent,outstanding,,,
11,ovation,"When the play ended, everyone in the audience gave a standing ovation.",applause,,,,
11,ameliorate,Various steps have been taken to ameliorate the situation.,improve,mend,,,
11,erroneous,The newspaper's charge that the real estate tycoon bought off several local assemblymen was later proven to be erroneous.,FALSE,incorrect,spurious,unsound,
11,cherish,I still cherish all the albums I purchased in high school.,hold dear,prize,treasure,value,
11,antinomy,"He never resolved this antinomy, and his speculations were thrown into confusion by it.",contradiction,paradox,,,
11,reinforce,"A series of successful experiences, however small, will reinforce the conviction for more success.",strengthen,,,,
11,influx,We've had a majod influx of immigrants over recent decades.,inflow,rush,,,
11,priceless,We saw some priceless paintings at the museum.,invaluable,precious,valuable,,
11,muffle,He tried to muffle the alarm clock by putting it under his pillow.,damp,mute,,,
11,analogy,You can give the analogy of computers and smartphones.,likeness,resemblance,similarity,,
11,trustworthy,Many people do not see politicians as trustworthy.,dependable,reliable,,,
11,hoax,"After arriving at the hospital, I leaned the emergency call was a hoax.",joke,prank,,,
11,docile,These people are docile: they follow orders and obey other people's wishes.,compliant,meek,obedient,submissive,
11,inhabit,This neighborhood is inhabited by rich people.,dwell in,live in,,,
11,marsh,A proposed housing development in the marsh area will have a significant negative impact on the birds that live there.,bog,quagmire,swamp,,
11,frank,"To be frank with you, I think your son has little chance of passing the exam.",candid,forthright,honest,outspoken,
11,junk,"Once satellites become obsolete, they turn into useless space junk.",|itter,refuse,rubbish,trash,
11,lease,I've sighned a monthly lease for the office.,hire,rental,,,
11,state-of-the-art,"Professor Kim always buys the latest, state-of-the-art digital camera.",latest,modern,up-to-date,,
11,turnpike,The average turnpike traveler will be deterred by the increased cost and seek alternative.,pike,,,,
11,scramble,We scrambled up the nearly perpendicular side of the mountain.,clamber,climb,,,
11,cordial,His personal relations with Callaghan were far more cordial than they had ever been.,affectionate,hearty,sincere,,
11,wont,I was wont to listen to the radio while reading.,accustomed,inclined,,,
11,wont,The quaint wont still exists in this part of the country.,custom,habit,habitus,practice,
11,barometer,A strong KOSPI is one of the best barometers for measuring how the country's image has evolved in the eyes of investors at both home and abroad.,criterion,index,measure,standard,
11,frighten,Maybe we frighten you because you don't know us well.,intimidate,scare,shock,,
11,frighten,They frightened him into telling the secret.,intimidate,threaten,,,
11,catalyst,A catalyst is a substance which accelerates reactions.,accelerant,catalyzer,,,
11,catalyst,People hope that this election will be a catalyst for reform.,impetus,stimulant,,,
11,sway,"They danced rhythmically, swaying their hips to the music.",shake,waver,,,
11,sway,She wasn't swayed by his good looks or his clever talk.,oscillate,,,,
11,restive,The audience were becoming restive as they waited for the performance to begin.,edgy,impatient,restless,,
11,enchant,He was enchanted by her radiant beauty.,bewitch,captivate,charm,fascinate,mesmerize
11,acrimonious,The issue of raising taxes causes acrimonious arguments.,bitter,caustic,scathing,trenchant,vitriolic
11,decay,Saliva has an important role in preventing tooth decay.,corrosion,decomposition,,,
11,valetudinarian,"Though his own health was not good, he detested valetudinarians.",hypochondriac,,,,
11,override,The Supreme Court has overridden the decision of the Central Taxx Court.,annul,invalidate,nullify,,
11,override,Considerations of safety override all other concerns.,outbalance,outweigh,precede,,
11,coincide,This was the first time since 1986 that Ramadan coincided with the World Cup.,coexist,synchronize,,,
12,revere,We all revere Shakespeare's plays as great literature.,admire,esteem,idolize,worship,
12,clandestine,The group held weekly clandestine meetings in a church.,covert,furtive,surreptitious,underhand,
12,signature,"So far, the petition has drawn more than 200 signatures since its launch last month.",autograph,,,,
12,provoke,The sudden announcement provoked a storm of protest.,arouse,cause,elicit,evoke,trigger
12,provoke,You should not provoke or tease the animals in the cage.,enrage,infuriate,irritate,offend,
12,arena,Koreans love watching basketball games at arenas or on TV.,amphitheater,field,pavilion,stadium,
12,industrious,It is the industrious man who always wins over the sluggish man.,diligent,hardworking,,,
12,dissident,He was sent to jail by the Chinese government for his dissident activism.,dissenting,opposing,,,
12,dissident,The dissidents say they seek Cuba's democratic reforms after decades of communist rule.,dissenter,rebel,,,
12,preside,Dr. and Mrs. Lee will preside over the opening ceremony of the international conference.,chair,moderate,officiate,,
12,hospitable,"He swas upnpolished but hospitable, kind to strangers, honest and trustworthy.",friendly,kind,welcoming,,
12,trumpet,Their marriage was trumpeted as the society wedding.,advertise,announce,proclaim,tout,
12,appliance,The government asks people to turn off their lights and unnecessary electrical appliances to save power.,device,gadget,instrument,machine,tool
12,paternal,"After adopting a baby, he discovered his paternal side.",fatherly,,,,
12,delineate,Our objectives need to be precisely delineated.,portray,depict,describe,,
12,delineate,The ship's route is clearly delineated on the map.,portray,depict,describe,,
12,sufficient,Eight hundred dollars is sufficient for living expenses.,abundant,adequate,ample,enough,
12,whistle-blower,Edward Snowden is a whistle-blower who leaked classified information about the U.S. government.,bigmouth,blabbermouth,tattletale,,
12,flexible,Baskets can be constructed of vegetable substances that are as soft and as flexible as grass.,bendable,pliable,,,
12,escalate,The local war is likely to escalate into a global war.,adaptable,supple,,,
12,escalate,This cost is projected to escalate in years to come.,accelerate,heighten,increase,,
12,intricate,The plot of this story is very intricate.,complex,complicated,tangled,,
12,leeway,You have an hour's leeway to catch the train.,latitude,margin,room,,
12,vie,The streets were full of cars vying with each other for parking spaces.,compete,contend,,,
12,staggering,A staggering third of children in the United States are overweight or obese.,astonishing,stunning,,,
12,prejudice,A subjective judgement can sometimes lead to prejudice.,bias,influence,,,
12,conciliatory,Even his patience and conciliatory nature could not hold the left-wing group together.,peacemaking,placatory,propitiatory,,
12,fallout,Jackson lost his job in the fallout from the incident.,by-product,spin-0ff,,,
12,tepid,"Despite tepid economic growth, the stock market hit all-time highs this year.",half-hearted,indifferent,unenthusiastic,,
12,rascal,The rascal forced her at pistol point to hand over her savings.,knave,rogue,scamp,scoundrel,
12,pro-life,The pro-life movement has not reached its main goal of getting a constitutional amendment to ban abortion.,anti-choice,,,,
12,incidence,Breast cancer incidence rates have increased exponentially over the last 50 years.,frequency,occurrence,prevalence,,
12,mobilize,"In 2000, Native American students at San Diego State University mobilized against their school's use of the nickname Aztecs for university athletic teams.",assemble,marshal,rally,,
12,extraordinary,"With his extraordinary invention, James Dyson, who was born in 19947 in England, is currently recognized as the ""Steve Jobs of England.""",remarkable,unusual,,,
12,detect,It is important to detect cancer in its early stages.,discover,notice,perceive,uncover,
12,gastronomy,Her expertise is in the field of Italian gastronomy.,cooking,recipe,,,
12,burgeon,A sprout has started to burgeon forth from a tree that is hundreds of years old.,bud,sprout,,,
12,burgeon,These regions are emerging as burgeoning new markets.,mushroom,surge,,,
12,implication,The long-term implications actually hinge on domestic American politics.,consequence,ramification,result,upshot,
12,opinionated,He is a highly opinionated man and cannot surely be fair as a judge.,adamant,assertive,stubborn,,
12,dreg,"The dregs settled, and the wine became clear.",grounds,lees,sediment,,
12,conceal,Celebrities sometimes change their looks to conceal their identity in public.,cloak,hide,mask,,
12,nostalgia,Some people feel nostalgia for their school days.,homesickness,,,,
12,nostalgia,His song aroused nostalgia in people.,homesickness,,,,
12,unveil,GM's solar-powered car was unvelied at last month's Geneva auto show.,disclose,divulge,expose,reveal,
12,antagonistic,The summit meeting will bring about a reconciliation between groups which were formerly antagonistic to one another.,hostile,opposed,,,
12,fratricide,The boy was sent to life imprisonment for committing fratricide.,Cainism,siblicide,,,
12,stingy,She is so stingy that she begrudges her dog a bone.,frugal,miserly,parsimonious,,
12,brainstorm,Secondary schools absolved him of the obligation to pay fees.,acquit,discharge,excuse,exempt,exonerate
12,absolve,The man absolved you from all your sins.,excuse,forgive,pardon,remit,
12,squash,"If parents don't answer children's questions, their natural curiosity will be squashed.",quash,quell,suppress,,
12,eunuch,"King and I tells the story of a love triangle between a eunuch, a concubine and a king.",gelding,,,,
12,maunder,Dennis maundered on about the wine.,babble,drivel,mumble,mutter,
12,maunder,The girl maunders alone on the rocky beach.,ramble,roam,stray,wander,
12,quintessence,The Resurrection is the quintessense of the Christian faith.,core,epitome,essence,soul,
13,detrimental,Burning fossil fuels is detrimental to the earth's atmosphere.,damaging,harmful,injurious,pernicious,
13,detrimental,Smoking is detrimental to the health.,damaging,harmful,injurious,pernicious,
13,loiter,A suspicious fellow is loitering around our house.,hang about,,,,
13,intractable,Intractable problems can sometimes be solved when a different person looks at them.,obstinate,perverse,stubborn,unruly,
13,propagate,Many plants propagate themselves using the wind to carry their seeds.,breed,cultivate,grow,reproduce,
13,propagate,Many companies propagate their products through television ads.,advertise,blazon,spread,,
13,contribute,The anicient Silk Road contributed to the development of the global culture.,conduce,serve,,,
13,sundry,He made his debut in the movie world eight years ago after sundry jobs.,assorted,diverse,miscellaneous,various,
13,apathy,This apathy of the wealthy caused the poor to resort to violence to attract attention to their complaints.,aloofness,indifference,nonchalance,unconcern,
13,composite,The pictures of models in this magazine are trick composite pictures made by photoshop.,combined,compound,mixed,,
13,sylvan,We followed the sylvan path to feel refreshment of mind and body.,woodsy,,,,
13,perspiration,Genius is 1 percent inspiration and 99 percent perspiration.,effort,,,,
13,requite,"I will requite like for like, and I will show no mercy.",avenge,retaliate,revenge,,
13,skinny,The skinny youngster had the potential to be a great player.,emaciated,lean,scrawny,thin,
13,anticipate,Are you anticipating a lot of people at the party tonight?,expect,forecast,foresee,predict,
13,esoteric,She has a rather esoteric taste in clothes.,abstruse,profound,recondite,,
13,irritate,I don't want to bring it up and irritate her now.,annoy,exasperate,infuriate,nettle,
13,digit,He has won double-digit wins for six consecutive years since 2008.,figure,number,numeral,,
13,blink,"An owl has three eyelids: one for blinking, one for sleeping, and one for keeping the eye clean and healthy.",flicker,,,,
13,knack,The girl has a knack for making people laugh.,ability,flair,genius,gift,skill
13,motivate,Religion can help motivate people to help others.,actuate,incite,induce,,
13,translucent,They set translucent glass in their bathroom window.,semitransparent,translucid,,,
13,recycle,She is separating the waste to recycle it.,reprocess,reuse,,,
13,verbatim,A transcript tries to record a conversation or dialogue verbatim.,exactly,literally,to the letter,,
13,assent,There were murmurs of both assent and dissent from the crowd.,agreement,approval,concurrence,consent,
13,assent,The father assented to his daughter's marriage.,agree,approve,concur,consent,nod
13,curiosity,Children display an unquenchable curiosity about every new thing they encounter.,inquisitiveness,interest,,,
13,stoic,English peoplpe used to be regarded as rserved and stoic.,abstemious,abstinent,ascetic,austere,continent
13,publication,The scientist agreed to release his article for publication.,announcement,declaration,,,
13,creep,"I crept up the stairs, trying not to wake my parents.",crawl,wriggle,,,
13,mess,"If everybody does whatever they want, the community will become a mess.",chaos,clutter,disarray,pandemonium,shambles
13,orchestrate,Palestinian officials and militant leaders said Hezbollah had orchestrated the attack.,organize,plan,plot,scheme,
13,renegade,Early Christians were considered religious renegades by the Jews.,betrayer,recreant,traitor,apostate,
13,capricious,"Anna made many a capricious decision, making it difficult for anyone to trust her inclinations.",fickle,mercurial,whimsical,,
13,hybrid,A mule is a hybrid of a male donkey and a female horse.,crossbred,,,,
13,nutty,A normal man couldn't live with her without going nutty.,bananas,batty,crazy,insane,
13,wither,The crops are withering in the scorching heat.,shrivel,wilt,wizen,,
13,grievance,A customer who thinks he has not had a fair deal will not easily forget his grievance.,complaint,discontent,dissatisfaction,gripe,grumble
13,foster,The banks' easy lending practices fostered a debt-dependent culture.,encourage,further,promote,,
13,foster,They have fostered over 60 children during the past ten years.,nurse,nurture,raise,,
13,barrage,Soldiers fired a barrage of machine guns at the enemy.,volley,,,,
13,barrage,The UN secretary general faced a barrage of questions at U.N.,blast,bombardment,fusillade,volley,
13,presumptuous,That he should ask her to marry him was rather presumptuous on his part.,assuming,impertinent,overweening,,
13,deserve,"If a murderer kills its victim, he or she deserves a fair penalty.","be entitled to,",merit,,,
13,otiose,It ought to be comparatively easy to decide what kinds of criticism are useful and what are otiose.,fruitless,futile,ineffective,,
13,execute,They drew up and executed a plan to reduce fuel consumption.,accomplish,enforce,fulfill,perform,
13,mulish,The two senators appeared equally mulish in their debate.,obstinate,stubborn,,,
13,therapy,He will receive physical therapy on his damaged left knee.,cure,remedy,treatment,,
13,deploy,"2,000 troops were deployed in the area.",arrange,position,,,
13,deploy,"At least 5,000 missiles were deployed along the border.",arrange,position,,,
13,parcel,Switzerland's postal service began tests of mail and parcel deliveries by drones on July 7.,package,parcel,,,
13,felicitous,The man dealt with a very sensitive matter in a felicitous manner.,apposite,appropriate,apt,,
14,glance,I could tell at a glance that the number were wrong.,brief look,glimpse,peek,,
14,abrogate,Congress must abrogate the new tax law.,abolish,nullify,revoke,,
14,ineluctable,"Through his long journey, the hero felt that his fate was ineluctable and refused to make any attempt to change his lot.",inescapable,inevitable,unavoidable,,
14,streamline,"In an effort to streamline their cumbersome bureaucracy, they have greatly simplified the chain of command.",clarify,rationalize,simplify,,
14,degree,The college entrance examination begam giving different levels of degrees instead of grading is scores from 2008.,extent,grade,rank,scale,
14,chant,"When he played soccer, many people gathered around him and cheered him up, chanting his name.",intone,sing,,,
14,splendid,"A simple wedding ceremony isn't splendid, but may intensify the meaning of the union.",flowery,gorgeous,magnificent,marvellous,ornate
14,primate,"He says nearly all primates eat meat, at least sometimes.",ape,,,,
14,frugal,She is accustomed to a frugal life.,economical,plain,plain-vanilla,thrifty,
14,property,He delivered up the whole of his property to his cousin.,capital,,,,
14,egocentric,"Babies are entirely egocentric, concerned only with how warm or cold tthey are and when they will next be fed.",self-centered,selfish,,,
14,scrape,We managed to scrape together eight vonlunteers.,rake,sweep,,,
14,accomplice,He planned to rob the bank in connniance with his acconplice.,accessory,aide,collaborator,conspirator,
14,mortify,The Sphinx was so mortified at the solving of her riddle that she cast herself down from the rock and perished.,embarrass,humiliate,shame,,
14,burglar,The burglar was frightend away by the barking of the dog.,housebreaker,robber,thief,,
14,disseminate,Other fruits can disseminate the seed using wind.,disperse,scatter,sow,strew,
14,disseminate,"There are people who like to dissemiate false imformation,",diffuse,propagate,spread,,
14,stigma,He has the stigma of having a criminal record.,blemish,disgrace,taint,,
14,stigma,"Though there still is a stigma about plastic surgery for men, that is changing gradually.",blemish,disgrace,taint,,
14,recoil,She turned round to greet him then recoiled in horror when she saw the state he was in.,flinch,quail,shrink,,
14,aesthetic,"In modern architecture, iron came to be used in construction for aesthetic purposes.",artistic,esthetic,,,
14,constitution,The town is mainly middle-class in constitution.,composition,organization,,,
14,lunatic,"If you wear the strange dress, you'll be a jike and be considered a lunatic.",crackbrain,maniac,nut,,
14,probe,He didn’t like the media probing into his past.,investigate,,,,
14,impetus,Cooperation served as the impeptus for that team's winning the championship/,force,impulse,momentum,stimulus,
14,whiz,He is certaninly the whiz of management.,expert,master,,,
14,arrange,"I've arranged the books alphabetically, so don't muddle them up.",array,order,organize,,
14,etymology,"The etymology of the word placebo is derived from the Latin verb for ""I shall please.""",derivation,origin,pedigree,,
14,trial,The men were arrested but not brought to trial.,case,hearing,,,
14,trial,A new vaccine for hepatitis B is undergoing clinical trials.,experiment,test,,,
14,premature,A judgement made before all the factors are known must be called premature.,early,untimely,,,
14,vilify,He was sickened by the encomiums and panegyrics expressed by speakers who had previously been among the firrst to vilify the man they were now honoring.,defame,malign,revile,,
14,remote,"As I live in a remote village, I rarely have visitors.",distant,far,isolated,secluded,
14,massive,A massive number of people flocked to the beach.,enormous,gargantuan,vast,,
14,tout,He's busy touting his client's latest book around London's literary agents.,ballyhoo,trumpet,,,
14,notable,"Hyundai's Beijing plant sold 210,945 vehicles during the period, a notable increase compared to 144,088 units a year earlier.",conspicuous,noteworthy,outstanding,remarkable,
14,confer,"The medal was conferred on him, thanks to his devotion to public service.",accord,award,bestow,give,grant
14,memorandum,He forced debtors who faileed to repay to either write a body abandonment memorandum or locked them up in a car.,agreement,contract,note,protocol,
14,intense,She felt intense pain when the bone broke in her leg.,acute,extreme,fierce,severe,
14,unnerve,The blast unnerved residents and others in the capital.,disconcert,shake,,,
14,origin,All crime has its origin in greed.,beginning,foundation,root,source,
14,cater,Most of our work involves catering for weddings.,furnish,provision,supply,,
14,cater,They only publish novels whicj cater to mass-market.,gratify,humor,indulge,pander,
14,pupil,At my school the pupils partake in all cleaning chores.,apprentice,learner,student,trainee,
14,figurative,She described me as a princess in a figurative expression.,allegorical,metaphorical,symbolic,,
14,retain,China dishes retain heat longer than metal pans do.,keep,maintain,preserve,,
14,cosmopolitan,Music is one of the most cosmopolitan arts.,global,international,worldwide,,
14,bellwether,Cisco is a pretty good bellwether for the tech sector.,doyen,leader,vanguard,,
14,supervise,She supervise a bookkeeping department of 20 employees.,administer,direct,manage,oversee,superintend
14,dour,The smile painted on his face only a camouflage to conceal his dour mood.,bleak,morose,sullen,,
14,exclaim,She exclaimed what a beautiful lake it was.,cry,proclaim,shout,yell,
15,specific,Could you be a little more specific about that issue?,concrete,definite,exact,obvious,
15,deduct,"After deductuing all expenses at the bazarr, the net profit was barely around $1,000.",subtract,,,,
15,gullible,People are so gullible! Just say you saw something strange in the sky and everyone belives that it is aliens and UFOs.,credulous,easily--deceived,naive,,
15,indemnify,The city will indemnify all home owners whose property is spoiled by this project.,compensate,recompense,reimburse,remunerate,repay
15,pregnant,A pregnant woman should not consume alcohol.,expectant,expecting,,,
15,enormous,The tax derived from tobacco sales is an enormous income for the government.,huge,immense,massive,tremendous,vast
15,asperity,"She remarked with some asperity, looking at me.",acerbity,acrimony,harshness,,
15,personalize,All our couses are personalized to the needs of the individual.,customize,individualize,,,
15,despicable,She is the most despicable woman I have ever met in my life.,abominable,contemptible,mean,vile,
15,prodigy,People considerated the 11-years-old boy a musical prodigy.,genius,talent,wizard,,
15,trample,People were tampled underfoot in the rush for the exit.,crush,squash,,,
15,antique,The museum houses a massive collection of antique furniture.,antiquated,obsolete,outdated,superannuated,
15,morbid,"You may dread the sight or touch of a spider, or you may have a morbid fear of heights.",indecent,unhealthy,unwholesome,,
15,collate,"When both version of the story were collated, major discrepancies were found.",check,compare,contrast,,
15,insatiable,"Like so many politicians, he had an insatiable desire for power.",greedy,unquenchable,voracious,,
15,insatiable,The woman has an insatiable curiosity.,greedy,unquenchable,voracious,,
15,duplicate,"Forty-six percent of software programs last year were illggally duplicated, genertating damage worth $500 million.",clone,copy,replicate,reproduce,
15,rip-off,"They are selling popcorn and soda at ""rip-odd""prices.",cheat,exploitation,fraud,,
15,rip-off,"According to sources, the single is a rip-off of a 70s hit.",imitation,replica,,,
15,harsh,There is no gurantee that harsh punishment would effectively deter murderes.,pitiless,ruthless,severe,,
15,abeyance,A decision is being held in abeyance until more information is available.,cessation,discontinuance,pause,suspension,
15,abeyance,The negotiations are kept in abeyance.,cessation,discontinuance,pause,suspension,
15,ostracize,He was ostracized by his collegues for refusing to support the strike.,banish,expel,shun,,
15,discourse,The Greek temple was the place of discourse at that time.,conversation,discussion,speech,,
15,discourse,He leveled a discourse to the capacity of an audience.,lecture,speech,sermon,,
15,melancholy,Listening to the sad music on rainy day made my feel melanchoily.,blue,depressed,doleful,gloomy,plaintive
15,jurisdiction,Hong Kong was returened to chines jurisdiction in 1997.,district under jurisdiction,,,,
15,fledgling,We are a fledgling team that was established recently.,callow,inexperienced,,,
15,admonish,He admonished the child for his bad behavior.,reprove,warn,advise,,
15,subsistence,Many families are living below the level of subsistence.,livelihood,maintenance,,,
15,bootless,The internatianl alliance that won the Cold War has been bootless in the case of Syria.,fruitless,futile,unavailing,useless,vain
15,clout,The tall amn gave the arrogant boy a clout.,punch,slap,smack,thump,
15,clout,My boss carries considered clout within the company.,influence,leverage,weight,,
15,extravagant,He ruined himself by an extravagant life.,lavish,prodigal,profligate,,
15,extravagant,"Residents were warned not to be extravagant with water, in view of the low rainfall this year.",lavish,prodigal,profligate,,
15,goblin,All kinds of red and green goblins came out from the gourd.,demon,,,,
15,reveal,"She crouched in the dark, too frightened to reveal herself.",disclose,divulge,expose,,
15,euthanasia,Euthanasia is a practice by which a doctor ends a patien's life after a long period of suffering.,mercy killing,,,,
15,superior,Thus model is technically superior to its competitors.,surpassing,,,,
15,superior,The tall man is my immediate superior.,elder,predecessor,senior,,
15,tatter,The gruelling schedule has left her body in tatters.,rags,,,,
15,augury,The crow's cry is an augury of rain.,harbinger,omen,Portent,,
15,wholesome,More and more people are turning to wholesome foods.,healthful,healthy,salubrious,,
15,wholesome,Her parents believe that sorority activies are not wholesome and these girle will not be good influences on their daughter.,beneficial,salutary,worthy,,
15,idiosyncrasy,"In fact, my wife and I argue over a little idiosyncrasy I have.",peculiarity,quirk,,,
15,noxious,I believe that rock music exerted a noxious influence on my chilidren.,deleterious,harmful,injurious,poisonous,
15,consult,Sleeping pills can be used only after consulting your doctor.,confer,discuss,negotiate,talk,
15,partition,She hid behind the partition when he entered the room.,divider,screen,wall,,
15,balk,The police balked the robber's plans.,thwart,disappoint,,,
15,balk,Consumers balk at buying new cars after economic crisis.,hesitate,waver,,,
15,rote,You may feel dulled by the rote of daily living.,routine,,,,
15,rote,The current education systetem encourages rote learning.,memorization,,,,
15,casualty,A full scale air combat resulted in a steep numb er of American casualties.,fatality,,,,
15,casualty,She became a casualty of the reduction in part-time work.,sufferer,victim,,,
15,picturesque,I have never seen a scene as picturesque as this in my entire life.,beautiful,pretty,scenic,,
15,strategy,What's your strategy for entering the American market?,scheme,tactic,,,
15,lacerate,The man's face was severely lacerated in the accident.,cut,rip,tear,,
16,orthodox,"The traditional doctrine of orthodox Christianity is that we are all born wicked, so wicked as to deserve etrnal punishment.",accepted,conventional,established,,
16,debase,The manufacturer debased their products by using cheaper materials in them.,"degrade,","demean,","depreciate,",lower,
16,swindle,They swindled him out of hundreds of dollars.,scam,fraud,,,
16,inapt,The make-up is inapt for a teenager.,"inappropriate,",unsuitable,,,
16,milieu,"Given the current political milieu, there is very little hope for quality leadership for years to come.","environment,",surroundings,,,
16,equivocal,He keeps taking an equivocal attitude on the issue.,ambiguous,"uncertain,",vague,,
16,clog,"Heartworms can clog up your pet dog's heart, causing heart problems and even death.","block,","hinder,","impede,",obstruct,
16,seeming,She handled the matter with seeming indifference.,"apparent,","ostensible,",outward,,
16,riot,This town has been patrolled by police since the riot.,"disturbance,","rebellion,","turmoil,",uprising,
16,conversant,The lawyer is conversant with all the evidence.,"familiar,","versed,",well-informed,,
16,associate,This part of the brain is associated with the ability to focus and behave.,"connect,",relate,"combine,","consort,",
16,fiat,This state-of-the-art robot only moves by fiat.,"command,","decree,",order,,
16,fiat,The company obtained the fiat from its shareholders at the general meeting.,"approval,","permission,",sanction,,
16,dynamic,I know every challenge can make my life more colorful and dynamic.,"active,","energetic,",vital,,
16,intercede,A neutral nation volunteered to intercede in the interest of achieving peace.,"arbitrate,","intervene,",mediate,,
16,scheme,Their scheme of building the road has failed.,"plan,",strategy,"conspiracy,","dodge,",
16,desultory,She works in a desultory way and completes nothing.,"discursive,","rambling,",random,,
16,contretemps,Valenti almost found himself retired because of this contretemps.,"argument,",argy-bargy,quarrel,,
16,span,Small children have a short attention span.,"duration,","period,","stretch,",term,
16,woe,Her lack of presidential leadership has added to the current economic woes.,"affliction,","distress,","grief,",sorrow,
16,abstruse,I was unable to follow his abstruse explanation of the formula.,"esoteric,","profound,",recondite,,
16,dub,"The pen was dubbed as a ""Lernstift,"" which means ""Learning Pen""in German.",call,"label,","name,",nickname,
16,monk,A friend of mine renounced the world and became a monk.,monastic,,,,
16,regulate,Regular consumption of nuts may help regulate body weight.,"control,","direct,","manage,",rule,
16,prognosis,Pancreatic cancer has a poor prognosis.,prospect,"forecast,","forecast,",prediction,
16,blue,"When I'm stressed or feeling blue, I often go to a park and run.","depressed,","gloomy,",melancholy,pessimistic,
16,ceremony,Bosingak holds a bell-tolling ceremony every year.,"observance,","rite,","ritual,",service,
16,edify,"Although his purpose was to edify and not to entertain his audience, many of his listeners were amused and not enlightened.","educate,","enlighten,","illuminate,",instruct,
16,vigilant,The fire officer said that the public should remain vigilant of inflammables.,"alert,","wary,",watchful,,
16,truism,"That may be a truism, but it is a useful maxim.","bromide,","cliche,","commonplace,",platitude,
16,truism,It is a truism that rights and responsibilities go hand in hand.,axiom,,,,
16,flat,People once believed that the world was flat.,"even,","horizontal,","level,",plane,
16,bravado,The man of true bravery is not frightened by a display of bravado.,"bluster,",bluff,,,
16,exquisite,The jewellery showed exquisite craftsmanship.,"fine,",superb;,"delicate,",elaborate,
16,nugatory,His act would create a lot of nugatory work for everyone.,"futile,","vain,",worthless,,
16,quota,She has done her quota of work for the project.,share;,"allocation,","allowance,",ration,
16,upbraid,The general manager upbraided him with his carelessness.,"chide,","rebuke,","reprimand,",scold,
16,reasonable,Any reasonable person would have done exactly as you did.,sensible;,rational,,,
16,posture,Good posture is essential when working at the computer.,"pose,",position,attitude,"situation,",state
16,succumb,Our country will not succumb to terrorism.,"capitulate,","submit,",surrender,,
16,meretricious,HE claims that a lot of journalism is meretricious and superficial.,"flashy,","garish,",gaudy,"shoddy,",tawdry
16,task,Losing weight can be a very difficult task.,"duty,",job,"chore,",toil,
16,aloof,The boy does not mix with other boys but always keeps aloof.,"apathetic,","detached,",indifferent,,
16,phase,"Three days later, the combat entered a new phase.","circumstance,","situation,",stage,,
16,imbue,"The boss has imbued the staffs of the business with some informal spirit, which worked fine until recently.","infuse,","inspire,",instill,,
17,benign,Her benign smile warned the hearts of the nervous soldiers.,"benevolent,","gentle,","kindly,",obliging,
17,mollify,He was mollified by her king words.,"appease,","pacify,","placate,",soothe,
17,pauper,"When people are thrown out of work in the early 21st century, unlike the 1930s, they do not suddenly become paupers.",slummer,,,,
17,criminal,The judge condemned the criminal to life in prison.,"culprit,","malfeasant,",offender,,
17,criminal,The young man was arraigned in criminal court for theft.,"felonious,","nefarious,",peccant,,
17,puberty,A boy's voice changes and becomes deeper at puberty.,adolescence,,,,
17,sustain,The love of his family sustained him during his time in prison.,"support,",uphold,"continue,",maintain,"experience,"
17,shackle,I don't want to live my life shackled to my past.,"bond,","chain,",fetters,restraint,
17,intrepid,He has always been the most intrepid explorer.,"brave,","daring,","dauntless,",fearless,
17,demur,"At first the student demurred, but then finally agreed.","dispute,","dissent,","gainsay,","object,","oppose,"
17,demur,Everything went without demur according to schedule.,"contravention,","dissent,","exception,",opposition,
17,acid,She made acid comments about the poor quality of his essay.,"acrimonious,","bitter,","harsh,","scathing,",sharp
17,enumerate,She enumerated the necessary qualities of a good teacher.,"itemize,","list,",specify,,
17,prize,He received a prize in reward for his diligence.,"award,","reward,",winnings,,
17,stupendous,To climb Mount Everest on a bicycle would be a stupendous accomplishment.,"colossal,","enormous,","incredible,",monumental,
